drop,optimizer,warmup_lr,activation,residual,batch_size,epochs,dense,latent_dim,reduce_lr,model,learning_rate,run_id,training_loss,validation_loss,runtime_hours,run_id,training_loss,validation_loss,runtime_hours
0.7687,sgd,0,tanh,0,128,100,"[978, 978, 978]",2,0,vae,0.0086,360_2_168,0.7188201955512717,0.6987948242823283,0.013487182777777777,360_2_168,0.7188201955512717,0.6987948242823283,0.013487182777777777
0.7696,sgd,0,relu,0,128,125,"[978, 978, 978]",32,0,ae,0.0012,360_2_33,0.04156227704551485,0.024958997666835785,0.014644689722222222,360_2_33,0.04156227704551485,0.024958997666835785,0.014644689722222222
0.8494,rmsprop,1,relu,1,1024,125,"[978, 978]",512,0,vae,0.0161,360_1_160,nan,nan,0.008104630277777778,360_1_160,nan,nan,0.008104630277777778
0.8017,sgd,0,tanh,0,64,192,"[978, 978, 978, 978, 978, 978]",8,1,vae,0.0111,360_1_352,1.0386262109544542,0.6962973650296529,0.058325843611111115,360_1_352,1.0386262109544542,0.6962973650296529,0.058325843611111115
0.1871,rmsprop,0,relu,0,256,196,"[978, 978, 978, 978]",8,0,vae,0.0202,360_5_24,nan,nan,0.023494209999999998,360_5_24,nan,nan,0.023494209999999998
0.7861,rmsprop,0,relu,1,32,103,"[978, 978, 978, 978, 978, 978]",2,0,vae,0.0801,360_3_331,nan,nan,0.07518221500000001,360_3_331,nan,nan,0.07518221500000001
0.5771,adam,1,tanh,1,64,108,"[978, 978, 978, 978]",8,1,ae,0.0665,360_3_103,0.1972299102059117,0.1970724062124888,0.03245139027777778,360_3_103,0.1972299102059117,0.1970724062124888,0.03245139027777778
0.6161,sgd,1,tanh,0,1024,148,"[1800, 600]",8,0,ae,0.0248,360_4_5,0.02779258561631044,0.02482883259654045,0.008532364166666667,360_4_5,0.02779258561631044,0.02482883259654045,0.008532364166666667
0.519,rmsprop,0,sigmoid,1,1024,123,"[978, 978, 978, 978, 978]",2,0,vae,0.0248,360_4_274,8.402009965402108,3.4368278980255127,0.010834960833333334,360_4_274,8.402009965402108,3.4368278980255127,0.010834960833333334
0.7695,sgd,0,relu,1,1024,160,"[978, 978, 978]",512,0,vae,0.0086,360_2_157,nan,nan,0.011775005277777778,360_2_157,nan,nan,0.011775005277777778
0.6621,rmsprop,0,tanh,0,32,163,"[978, 978, 978, 978, 978]",512,0,ae,0.0428,360_1_14,0.20742442705013134,0.2073886877298355,0.09442623527777777,360_1_14,0.20742442705013134,0.2073886877298355,0.09442623527777777
0.2837,rmsprop,0,sigmoid,0,256,108,"[1800, 600]",8,0,vae,0.0235,360_5_220,0.7197686634240327,0.7256379143397014,0.010802676666666667,360_5_220,0.7197686634240327,0.7256379143397014,0.010802676666666667
0.8041,adam,0,tanh,0,256,119,"[978, 978, 978, 978, 978, 978]",128,0,vae,0.0715,360_4_280,40303875310.3406,2713.3130729166664,0.01947038833333333,360_4_280,40303875310.3406,2713.3130729166664,0.01947038833333333
0.1187,adam,0,relu,1,512,170,"[978, 978, 978, 978, 978]",32,1,ae,0.0835,360_1_194,0.22624241023151964,0.22602099180221558,0.01832153777777778,360_1_194,0.22624241023151964,0.22602099180221558,0.01832153777777778
0.8184,rmsprop,0,relu,0,256,159,"[978, 978, 978, 978, 978]",8,0,vae,0.0244,360_5_218,nan,nan,0.022173285833333334,360_5_218,nan,nan,0.022173285833333334
0.704,adam,0,relu,1,128,170,"[978, 978, 978]",2,1,vae,0.085,360_1_158,nan,nan,0.027923173611111112,360_1_158,nan,nan,0.027923173611111112
0.0523,adam,0,relu,1,1024,103,"[978, 978, 978, 978, 978, 978]",128,0,vae,0.077,360_3_309,nan,nan,0.010527821944444444,360_3_309,nan,nan,0.010527821944444444
0.6158,adam,1,sigmoid,0,64,154,"[978, 978, 978, 978, 978]",32,0,vae,0.0708,360_1_193,0.6752025621908683,0.6729258743921915,0.060304253055555555,360_1_193,0.6752025621908683,0.6729258743921915,0.060304253055555555
0.4185,rmsprop,1,sigmoid,0,32,151,"[978, 978, 978]",8,0,ae,0.0347,360_4_287,0.014948005267867336,0.015335486183563868,0.060073987777777775,360_4_287,0.014948005267867336,0.015335486183563868,0.060073987777777775
0.7695,rmsprop,0,sigmoid,0,32,141,"[978, 978, 978]",2,0,vae,0.0085,360_2_150,0.6714992286540844,0.6713287671407063,0.06528540194444445,360_2_150,0.6714992286540844,0.6713287671407063,0.06528540194444445
0.1343,rmsprop,0,tanh,0,256,142,"[978, 978, 978, 978]",8,1,vae,0.0436,360_5_227,nan,nan,0.016933169722222224,360_5_227,nan,nan,0.016933169722222224
0.4864,sgd,0,sigmoid,0,128,184,"[1800, 600]",128,0,vae,0.0503,360_1_13,0.6976145742557667,0.6714321152369181,0.022542708333333335,360_1_13,0.6976145742557667,0.6714321152369181,0.022542708333333335
0.2827,adam,0,relu,0,1024,103,"[978, 978]",128,0,ae,0.0276,360_3_104,0.1981802854935328,0.19788959622383118,0.005970826388888889,360_3_104,0.1981802854935328,0.19788959622383118,0.005970826388888889
0.2561,adam,1,relu,1,32,171,"[978, 978]",32,0,ae,0.0248,360_4_2,0.014624511462946733,0.014593581321338813,0.05973998527777778,360_4_2,0.014624511462946733,0.014593581321338813,0.05973998527777778
0.8039,sgd,0,relu,1,64,189,"[978, 978, 978, 978, 978, 978]",32,1,ae,0.0125,360_4_273,0.2700732832484775,0.23952493449052176,0.05286779722222222,360_4_273,0.2700732832484775,0.23952493449052176,0.05286779722222222
0.2378,adam,0,relu,0,1024,103,"[978, 978, 978, 978, 978]",32,0,vae,0.0938,360_3_336,nan,nan,0.009256687222222223,360_3_336,nan,nan,0.009256687222222223
0.0079,rmsprop,0,tanh,1,32,120,"[1800, 600]",2,0,ae,0.0094,360_1_355,0.21845642136202917,0.21890539983908336,0.04269004666666667,360_1_355,0.21845642136202917,0.21890539983908336,0.04269004666666667
0.0173,sgd,0,relu,0,256,135,"[978, 978, 978, 978]",128,0,vae,0.0044,360_5_23,0.6945752343425045,0.6943161153793335,0.014430204722222223,360_5_23,0.6945752343425045,0.6943161153793335,0.014430204722222223
0.7693,rmsprop,0,sigmoid,1,32,163,"[978, 978, 978]",512,0,vae,0.0086,360_2_34,nan,nan,0.08130137027777778,360_2_34,nan,nan,0.08130137027777778
0.0431,adam,1,sigmoid,1,1024,151,"[978, 978]",128,1,ae,0.0905,360_1_167,0.01461032308638096,0.014528551138937473,0.008813583055555555,360_1_167,0.01461032308638096,0.014528551138937473,0.008813583055555555
0.7846,sgd,0,tanh,0,512,110,"[978, 978, 978]",2,0,vae,0.0084,360_2_159,0.7678903532028198,0.6979750990867615,0.008408174166666667,360_2_159,0.7678903532028198,0.6979750990867615,0.008408174166666667
0.7695,sgd,1,tanh,0,128,137,"[978, 978, 978]",2,0,ae,0.0029,360_2_354,0.034440394325388805,0.02488981785873572,0.01607409361111111,360_2_354,0.034440394325388805,0.02488981785873572,0.01607409361111111
0.5337,adam,0,tanh,0,128,168,"[978, 978, 978, 978, 978]",8,0,vae,0.0906,360_5_211,271.1959616427951,237.32763020833335,0.03829360722222223,360_5_211,271.1959616427951,237.32763020833335,0.03829360722222223
