,batch_size,dropout,epochs,ind_nnet_spec,learning_rate,shared_nnet_spec,validation_loss
0,128,0.5,5,400:400:400,0.1,1200,1.21605293352
1,128,0.05,5,600:600:600,0.01,400,1.5024463706
2,16,0.5,25,"1200, 1200:1200, 1200:1200, 1200",0.1,1200,1.76350463512
3,64,0.05,25,"1200, 1200:1200, 1200:1200, 1200",0.01,700,1.11981084715
4,32,0.05,25,400:400:400,0.01,1200,0.935326819341
5,128,0.05,5,600:600:600,0.01,500,1.49797692036
6,32,0.2,50,"1200, 1200:1200, 1200:1200, 1200",0.05,500,1.88067870087
7,32,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.01,700,1.46918142758
8,32,0.2,25,"1200, 1200:1200, 1200:1200, 1200",0.05,700,1.39370724891
9,16,0.5,5,400:400:400,0.01,500,1.36724012583
10,32,0.5,25,400:400:400,0.05,400,0.990078844483
11,32,0.5,25,"1200, 1200:1200, 1200:1200, 1200",0.05,700,1.30433040725
12,32,0.05,50,"1200, 1200:1200, 1200:1200, 1200",0.05,400,1.90667773617
13,32,0.2,25,600:600:600,0.01,400,1.02597331319
14,128,0.2,5,400:400:400,0.1,400,1.25577223166
15,16,0.5,50,400:400:400,0.01,700,1.04623642011
16,16,0.2,25,600:600:600,0.05,700,1.38110990802
17,32,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.1,400,1.06687196731
18,128,0.5,5,600:600:600,0.05,600,1.39827832318
19,256,0.05,25,"1200, 1200:1200, 1200:1200, 1200",0.05,500,1.04646440289
20,16,0.05,50,600:600:600,0.01,600,1.10843829976
21,32,0.2,5,"1200, 1200:1200, 1200:1200, 1200",0.1,500,0.954027940163
22,32,0.2,25,600:600:600,0.01,500,0.984740371246
23,32,0.2,5,"1200, 1200:1200, 1200:1200, 1200",0.05,400,1.10088403729
24,256,0.05,25,600:600:600,0.01,1200,1.41684309888
25,16,0.5,25,400:400:400,0.01,1200,0.913185806787
26,32,0.05,50,600:600:600,0.01,500,0.944457668603
27,64,0.2,5,600:600:600,0.05,400,1.24000483637
28,256,0.05,50,600:600:600,0.1,1200,0.917346306652
29,32,0.05,5,400:400:400,0.01,600,1.41702645638
