,Unnamed: 0,batch_size,dropout,epochs,ind_nnet_spec,learning_rate,shared_nnet_spec,validation_loss
0,0,128,0.5,5,400:400:400,0.1,1200,1.21605293352
1,1,128,0.05,5,600:600:600,0.01,400,1.5024463706
2,2,16,0.5,25,"1200, 1200:1200, 1200:1200, 1200",0.1,1200,1.76350463512
3,3,64,0.05,25,"1200, 1200:1200, 1200:1200, 1200",0.01,700,1.11981084715
4,4,32,0.05,25,400:400:400,0.01,1200,0.935326819341
5,5,128,0.05,5,600:600:600,0.01,500,1.49797692036
6,6,32,0.2,50,"1200, 1200:1200, 1200:1200, 1200",0.05,500,1.88067870087
7,7,32,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.01,700,1.46918142758
8,8,32,0.2,25,"1200, 1200:1200, 1200:1200, 1200",0.05,700,1.39370724891
9,9,16,0.5,5,400:400:400,0.01,500,1.36724012583
10,10,32,0.5,25,400:400:400,0.05,400,0.990078844483
11,11,32,0.5,25,"1200, 1200:1200, 1200:1200, 1200",0.05,700,1.30433040725
12,12,32,0.05,50,"1200, 1200:1200, 1200:1200, 1200",0.05,400,1.90667773617
13,13,32,0.2,25,600:600:600,0.01,400,1.02597331319
14,14,128,0.2,5,400:400:400,0.1,400,1.25577223166
15,15,16,0.5,50,400:400:400,0.01,700,1.04623642011
16,16,16,0.2,25,600:600:600,0.05,700,1.38110990802
17,17,32,0.5,5,"1200, 1200:1200, 1200:1200, 1200",0.1,400,1.06687196731
18,18,128,0.5,5,600:600:600,0.05,600,1.39827832318
19,19,256,0.05,25,"1200, 1200:1200, 1200:1200, 1200",0.05,500,1.04646440289
20,20,16,0.05,50,600:600:600,0.01,600,1.10843829976
21,21,32,0.2,5,"1200, 1200:1200, 1200:1200, 1200",0.1,500,0.954027940163
22,22,32,0.2,25,600:600:600,0.01,500,0.984740371246
23,23,32,0.2,5,"1200, 1200:1200, 1200:1200, 1200",0.05,400,1.10088403729
24,24,256,0.05,25,600:600:600,0.01,1200,1.41684309888
25,25,16,0.5,25,400:400:400,0.01,1200,0.913185806787
26,26,32,0.05,50,600:600:600,0.01,500,0.944457668603
27,27,64,0.2,5,600:600:600,0.05,400,1.24000483637
28,28,256,0.05,50,600:600:600,0.1,1200,0.917346306652
29,29,32,0.05,5,400:400:400,0.01,600,1.41702645638
0,0,20,0.409227563145,33,"1200, 1200:1200, 1200:1200, 1200",0.0258375987931,600,1.44811320361
1,1,128,0.342945084655,29,400:400:400,0.00305433858411,1200,1.47541120666
2,2,32,0.346847497161,30,400:400:400,0.0108306132774,1200,0.990570607024
3,3,32,0.366922176459,23,400:400:400,0.0143820970468,700,0.954219742338
4,4,20,0.384177488691,29,400:400:400,0.0135482604688,700,0.929704294093
5,5,128,0.369936478216,20,400:400:400,0.0174897808245,1200,1.28374671969
6,6,16,0.475478155548,30,400:400:400,0.00522556125327,700,0.960530756939
7,7,16,0.318914474628,27,400:400:400,0.00683378049725,1200,0.933608754237
8,8,20,0.424203014613,20,400:400:400,0.00400038440487,1200,1.20470003243
9,9,32,0.291308311847,25,400:400:400,0.00290905591272,600,1.36621202792
10,10,128,0.382186882416,27,400:400:400,0.00649564584656,600,1.43610323922
11,11,128,0.391564884551,30,400:400:400,0.0172208361708,500,1.23877039614
12,12,20,0.389346827889,14,600:600:600,0.0262087348197,1200,0.968209042398
13,13,256,0.378549276907,26,400:400:400,0.00268129784477,400,1.51685634662
14,14,32,0.292198536355,22,400:400:400,0.012583798133,1200,0.946007160258
15,15,20,0.387862658281,22,400:400:400,0.00904753736013,500,0.996849769962
16,16,16,0.399384199238,34,400:400:400,0.0245414272183,1200,1.27120251625
17,17,16,0.274551407413,27,400:400:400,0.0112140872632,600,0.982231791281
18,18,64,0.283397274824,22,400:400:400,0.0140500916596,1200,1.08589778479
19,19,16,0.381844434584,30,400:400:400,0.0163627567246,1200,1.03134019215
20,20,16,0.524982831861,26,400:400:400,0.0302601746109,400,1.0766791114
21,21,16,0.458652667202,29,400:400:400,0.00167415689589,400,1.32983792441
22,22,16,0.311082043112,27,400:400:400,0.0178960819447,600,0.981752905881
23,23,32,0.461988571032,30,400:400:400,0.00930334053704,600,0.968086129271
24,24,16,0.255373752461,24,400:400:400,0.0314702756992,600,1.16328821547
25,25,16,0.469204753883,29,400:400:400,0.00304445040322,600,1.11550200209
26,26,20,0.449647131436,25,400:400:400,0.0166556599625,500,0.947869406145
27,27,20,0.403126115185,28,400:400:400,0.00796575986492,600,0.91866052842
28,28,32,0.553151949051,35,400:400:400,0.0122243589851,500,0.936824549097
29,29,128,0.307564842332,24,400:400:400,0.0175922492738,1200,1.25053586857
30,30,64,0.392410836559,28,400:400:400,0.0142038277373,400,1.06978458705
31,31,16,0.49299941327,27,400:400:400,0.00746500090688,1200,0.941323673327
32,32,128,0.555733383565,23,400:400:400,0.0101779211825,500,1.44605286709
33,33,32,0.329708128281,27,400:400:400,0.0048241947224,1200,1.18033791986
34,34,32,0.354675662198,19,400:400:400,0.00732151750933,500,1.17071397854
35,35,16,0.469104601626,24,400:400:400,0.00493174940176,400,1.04177414061
0,0,128,0.325505603349,28,600:600:600,0.0140312455807,400,1.33112912813
1,1,20,0.414279649484,29,400:400:400,0.0170217787283,1200,0.999721217388
2,2,20,0.425349901687,27,400:400:400,0.00446516156912,1200,1.05855342805
3,3,16,0.370062082058,28,400:400:400,0.0101118586652,700,0.904970663621
4,4,128,0.526720907464,24,400:400:400,0.0140008355272,500,1.36499974568
5,5,20,0.297656477833,26,400:400:400,0.00148543272746,1200,1.3752445295
6,6,16,0.307384739357,22,400:400:400,0.0173475264994,1200,0.955072392834
7,7,20,0.401388777345,19,400:400:400,0.00468282790523,700,1.19295530505
8,8,64,0.515482533011,33,600:600:600,0.00986024399116,1200,1.09755221599
9,9,20,0.292645080116,19,400:400:400,0.0148161328165,400,0.924343004984
10,10,64,0.414379880924,23,400:400:400,0.00868732779767,1200,1.28250476533
11,11,20,0.397337799084,25,400:400:400,0.0182560384682,1200,0.947419932895
12,12,64,0.207516457611,14,600:600:600,0.0135738687733,500,1.27700556836
13,13,256,0.306422524506,24,400:400:400,0.00206794425808,600,1.50805671447
14,14,64,0.473513880383,29,400:400:400,0.0152536753,600,1.03632282289
15,15,20,0.45301701056,28,400:400:400,0.0180028102482,400,0.940571300444
16,16,20,0.275130014492,28,400:400:400,0.00562314566962,400,0.989348948547
17,17,16,0.301934624325,21,400:400:400,0.00616110808718,1200,0.966685957081
18,18,16,0.325607969545,27,400:400:400,0.0171477841984,400,1.06053423287
19,19,20,0.37686771847,23,400:400:400,0.00363254110334,400,1.25646288846
20,20,20,0.547237693488,19,400:400:400,0.00632292155169,600,1.14302550134
21,21,20,0.391399306998,21,400:400:400,0.00739911459743,1200,0.962268904309
22,22,64,0.437784341265,26,400:400:400,0.0154073444751,500,1.07880110479
23,23,64,0.35537049454,26,400:400:400,0.0141755440441,500,1.05431285253
24,24,32,0.450660925167,34,600:600:600,0.0346280378834,400,1.04612795582
