,batch_size,conv,dense,drop,epochs,learning_rate,run_id,runtime_hours,training_loss,validation_loss
0,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.0,4,0.005,4000,0.0255447994444,0.688094406469,0.686857339314
1,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.0,4,0.005,4001,0.0151116236111,0.69145222136,0.691530299187
2,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.0,4,0.005,4002,0.0805125719444,0.689716695888,0.690260052681
3,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.0,4,0.005,4003,2.23687784083,0.685400427239,0.684271008628
4,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.0,4,0.005,4004,0.0152279744444,0.692036170619,0.69175726005
5,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.0,4,0.01,4005,0.0239413222222,0.689942582164,0.689392617771
6,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.0,4,0.01,4006,0.0144523502778,0.683806529215,0.682563824313
7,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.0,4,0.01,4007,0.758576318611,0.683459505865,0.681943505151
8,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.0,4,0.01,4008,0.183989738333,0.667943021229,0.661016680513
9,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.0,4,0.01,4009,0.0154005255556,0.6892922725,0.688447720664
10,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.0,4,0.02,4010,0.0248005927778,0.664203020505,0.654588171414
11,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.0,4,0.02,4011,0.0148503025,0.686752964769,0.687158310413
12,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.0,4,0.02,4012,0.0789134344444,0.680693170854,0.681317009245
13,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.0,4,0.02,4013,0.187990116389,0.667227081742,0.657219398022
14,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.0,4,0.02,4014,0.432052374167,0.691450500488,0.692380651406
15,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.0,4,0.05,4015,0.0840597183333,0.651686992816,0.614900847844
16,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.0,4,0.05,4016,0.0449391213889,0.682604522364,0.690293117932
17,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.0,4,0.05,4017,0.811994184444,0.664781263896,0.653187969753
18,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.0,4,0.05,4018,0.130395989722,0.547793938858,0.538906105927
19,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.0,4,0.05,4019,0.0159670502778,0.688699787855,0.682692064558
20,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.1,4,0.005,4020,0.0248731013889,0.691152089834,0.690441063472
21,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.1,4,0.005,4021,0.0151769905556,0.690937086514,0.690737680026
